Stop names	Babice[]	Bojkovice,,Zeveta[]	Bojkovice,,u lékárny[]	Bojkovice,,škola[]	Bojkovice,,žel.st.[]	Bojkovice,Bzová,střed[]	Bojkovice,Přečkovice[]	Boršice u Blatnice,,pošta[]	Boršice,,Obecní úřad[]	Buchlovice,,náměstí[]	Bystřice p.Lop.,,hor.zast.[]	Bystřice p.Lop.,,zvonice[]	Bánov,,Obecní úřad[]	Bánov,,náměstí[]	Bílovice,,točna[]	Bílovice[]	Břestek,Chabaně,rozc.0.3[]	Břestek,Chabaně[]	Březolupy,,zámek[]	Březová,Olšovec[]	Dobrkovice,,náves[]	Dolní Němčí,,rozc.1.0[]	Dolní Němčí,,zdravotní středisko[]	Dolní Němčí,,škola[]	Hluk,,Autopal[]	Hluk,,hostinec[]	Hluk,,škola[]	Horní Němčí,,točna[]	Hradčovice,,žel.st.[]	Huštěnovice[]	Jalubí[]	Jankovice,,hor.konec[]	Kelníky[]	Komňa,,točna[]	Komňa,Nový dvůr[]	Komňa[]	Korytná,,hor.konec[]	Koryčany,,nám.[]	Kostelany n.Mor.[]	Košíky[]	Kroměříž,,aut.nádr.[]	Kudlovice,Dolina,hájenka[]	Kunovice,,Let[]	Luhačovice,,aut.st.[]	Mistřice,Javorovec[]	Napajedla,,aut.st.[]	Napajedla,,spořitelna[]	Nedakonice,,žel.st.[]	Nezdenice,,žel.st.[]	Nivnice,,škola[]	Ostrožská Lhota,,Jednota[]	Ostrožská Nová Ves,,křiž.[]	Osvětimany[]	Otrokovice,,aut.nádr.Baťov[]	Otrokovice,,žel.st.[]	Ořechov[]	Pašovice,,Obecní úřad[]	Podolí,,U žlebu[]	Polešovice,,Městečko[]	Popovice[]	Rudice,,točna[]	Salaš,,točna[]	Slavkov,,křiž.[]	Staré Hutě,,Obecní úřad[]	Staré Město,,obchodní zóna[]	Staré Město,,žel.st.[]	Starý Hrozenkov,,Obecní úřad[]	Starý Hrozenkov,,celnice[]	Starý Hrozenkov,,pila[]	Strání,,U Popelků[]	Strání,,škola[]	Strání,Květná[]	Stříbrnice[]	Suchá Loz,,ZD[]	Suchá Loz,Volenov[]	Suchá Loz[]	Topolná[]	Tučapy[]	Uherské Hradiště,,aut.nádr.[]	Uherské Hradiště,,nemocnice[]	Uherské Hradiště,Jarošov,náves[]	Uherské Hradiště,Mařatice,Derflanská[]	Uherské Hradiště,Mařatice,Jaktáře[]	Uherské Hradiště,Mařatice,R.Kubíčka[]	Uherské Hradiště,Mařatice,hřbitov točna[]	Uherské Hradiště,Štěpnice,U Olšávky[]	Uherský Brod,,Dům kultury[]	Uherský Brod,,Mariánské náměstí[]	Uherský Brod,,Prakšická[]	Uherský Brod,,Slovácké strojírny[]	Uherský Brod,,Větrná[]	Uherský Brod,,ZŠ Na Výsluní[]	Uherský Brod,,dopravní terminál[]	Uherský Brod,,poliklinika[]	Uherský Brod,,sídliště Olšava[]	Uherský Brod,,Šumická[]	Uherský Brod,Havřice[]	Uherský Brod,Újezdec,žel.st.[]	Uherský Ostroh,,náměstí[]	Uherský Ostroh,,točna[]	Uherský Ostroh,,závod ČD[]	Velehrad,,náměstí[]	Veletiny,,křiž.[]	Velký Ořechov,,aut.st.[]	Veselí n.Mor.,,žel.st.[]	Vlčnov,,Araver[]	Vlčnov,,hor.konec[]	Vlčnov,,křiž.[]	Vlčnov,,sokolovna[]	Vyškovec,Hribovny,točna[]	Vyškovec[]	Vápenice,,Obecní úřad[]	Vápenice,,točna[]	Zlámanec[]	Zlín,,aut.nádr.[]	Částkov,,střed[]	Šumice,,škola[]	Žítková,,rekr.stř.[]	Uherské Hradiště,,garáže ČSAD[]
Uherské Hradiště,,nemocnice[]	13	49	48	47	45	53	51	29	17	20	38	40	34	33	15	14	21	22	18	48	28	25	24	26	19	17	18	31	18	11	16	26	27	44	41	45	42	44	14	22	59	21	13	43	19	20	21	19	39	36	20	15	30	32	28	26	24	19	23	18	47	23	26	33	8	10	47	50	49	36	37	40	22	38	40	37	17	21	4	0	11	9	8	10	10	2	28	28	29	30	30	29	26	29	30	29	24	36	23	24	23	14	16	28	28	18	22	20	21	50	53	49	51	24	37	21	34	61	6
Uherské Hradiště,Jarošov,náves[]	16	52	51	50	48	56	54	32	20	23	41	43	37	36	10	9	24	25	13	51	23	28	27	29	22	20	21	34	21	14	19	29	22	47	44	48	45	47	17	25	58	24	16	46	14	20	19	22	42	39	23	18	33	31	26	29	19	22	26	21	50	26	29	36	11	13	50	53	52	39	40	43	25	41	43	40	12	24	7	11	0	12	3	11	13	13	29	28	27	33	30	31	29	29	33	32	27	36	26	27	26	17	19	23	31	21	25	23	24	53	56	52	54	19	32	16	37	64	9
Uherské Hradiště,Mařatice,Derflanská[]	14	46	45	44	42	50	48	26	18	21	35	37	31	30	16	15	22	23	19	45	29	22	21	23	16	14	15	28	15	12	17	27	28	41	38	42	39	45	15	23	60	22	10	40	20	21	22	20	36	33	18	13	31	33	29	27	25	16	24	15	44	24	23	34	9	11	44	47	46	33	34	37	23	35	37	34	18	22	5	9	12	0	9	1	4	11	25	25	26	27	27	26	23	26	27	26	21	33	21	22	21	15	13	29	26	15	19	17	18	47	50	46	48	25	38	22	31	58	3
Uherské Hradiště,Mařatice,Jaktáře[]	13	49	48	47	45	53	51	29	17	20	38	40	34	33	7	6	21	22	10	48	20	25	24	26	19	17	18	31	18	11	16	26	19	44	41	45	42	44	14	22	55	21	13	43	11	17	16	19	39	36	20	15	30	28	23	26	16	19	23	18	47	23	26	33	8	10	47	50	49	36	37	40	22	38	40	37	9	21	4	8	3	9	0	8	10	10	26	25	24	30	27	28	26	26	30	29	24	33	23	24	23	14	16	20	28	18	22	20	21	50	53	49	51	16	29	13	34	61	6
Uherské Hradiště,Mařatice,R.Kubíčka[]	15	47	46	45	43	51	49	27	19	22	36	38	32	31	15	14	23	24	18	46	28	23	22	24	17	15	16	29	16	13	18	28	27	42	39	43	40	46	16	24	61	23	11	41	19	22	23	21	37	34	19	14	32	34	30	28	24	17	25	16	45	25	24	35	10	12	45	48	47	34	35	38	24	36	38	35	17	23	6	10	11	1	8	0	3	12	26	26	27	28	28	27	24	27	28	27	22	34	22	23	22	16	14	28	27	16	20	18	19	48	51	47	49	24	37	21	32	59	4
Uherské Hradiště,Mařatice,hřbitov točna[]	15	50	49	48	46	54	52	30	19	22	39	41	35	34	17	16	23	24	20	49	30	26	25	27	20	18	19	32	19	13	18	28	29	45	42	46	43	46	16	24	61	23	14	44	21	22	23	21	40	37	22	17	32	34	30	28	26	20	25	19	48	25	27	35	10	12	48	51	50	37	38	41	24	39	41	38	19	23	6	10	13	4	10	3	0	12	29	29	30	31	31	30	27	30	31	30	25	37	25	26	25	16	17	30	30	19	23	21	22	51	54	50	52	26	39	23	35	62	7
Uherské Hradiště,Štěpnice,U Olšávky[]	15	51	50	49	47	55	53	31	19	22	40	42	36	35	17	16	23	24	20	50	30	27	26	28	21	19	20	33	20	13	18	28	29	46	43	47	44	46	16	24	61	23	15	45	21	22	23	21	41	38	22	17	32	34	30	28	26	21	25	20	49	25	28	35	10	12	49	52	51	38	39	42	24	40	42	39	19	23	6	2	13	11	10	12	12	0	30	30	31	32	32	31	28	31	32	31	26	38	25	26	25	16	18	30	30	20	24	22	23	52	55	51	53	26	39	23	36	63	8
Uherský Brod,,Dům kultury[]	33	25	24	23	21	29	27	20	37	40	14	16	10	9	21	20	41	42	24	28	14	13	14	16	18	18	17	21	10	31	36	46	19	20	17	21	18	64	34	42	69	41	25	19	27	31	30	39	15	12	24	29	50	42	37	46	10	22	43	18	23	43	16	53	28	30	23	26	25	26	27	30	42	14	16	13	23	41	24	28	29	25	26	26	29	30	0	3	2	6	3	3	2	2	6	5	4	8	37	38	37	34	12	16	42	13	13	11	12	26	29	25	27	19	39	13	10	37	22
Uherský Brod,,Mariánské náměstí[]	33	25	24	23	21	29	27	20	37	40	14	16	10	9	20	19	41	42	23	28	13	13	14	16	18	18	17	21	10	31	36	46	18	20	17	21	18	64	34	42	68	41	25	19	26	30	29	39	15	12	24	29	50	41	36	46	9	22	43	18	23	43	16	53	28	30	23	26	25	26	27	30	42	14	16	13	22	41	24	28	28	25	25	26	29	30	3	0	1	6	2	3	2	1	6	5	4	8	37	38	37	34	12	15	42	13	13	11	12	26	29	25	27	18	38	12	10	37	22
Uherský Brod,,Prakšická[]	34	26	25	24	22	30	28	21	38	41	15	17	11	10	19	18	42	43	22	29	12	14	15	17	19	19	18	22	11	32	37	47	17	21	18	22	19	65	35	43	67	42	26	20	25	29	28	40	16	13	25	30	51	40	35	47	8	23	44	19	24	44	17	54	29	31	24	27	26	27	28	31	43	15	17	14	21	42	25	29	27	26	24	27	30	31	2	1	0	7	3	4	3	2	7	6	5	9	38	39	38	35	13	14	43	14	14	12	13	27	30	26	28	17	37	11	11	38	23
